,Eg
1605,2.1623435020446777
8786,0.8452435731887817
38963,4.43972110748291
62699,1.8669027090072632
98672,3.773546934127808
496,1.2089440822601318
47339,1.0209767818450928
101527,1.9947068691253664
87844,3.7063896656036377
110678,2.641986608505249
5127,4.092628479003906
87730,2.1341710090637207
11720,2.2754054069519043
40631,1.9984413385391235
52740,2.69810438156128
51102,1.1070712804794312
81616,2.70896863937378
6669,3.3832156658172607
3112,1.6848266124725342
14445,1.2099580764770508
43178,4.85977840423584
55977,1.5828394889831543
84571,5.113770961761475
76149,2.084444999694824
28586,4.714051246643066
48734,2.261804819107056
37483,1.8424347639083865
86695,1.7029579877853394
68031,1.6752640008926392
40581,2.235423803329468
93206,3.09805965423584
40263,2.070338726043701
63424,0.8217348456382751
95799,4.394281387329102
48730,2.36824917793274
17731,3.682817697525024
81179,1.355997085571289
77677,1.71386456489563
100114,2.3176403045654297
22736,1.0854957103729248
13269,1.4436391592025757
35324,4.550115585327148
34167,4.257988929748535
67391,3.9175827503204346
48428,1.7587952613830566
8773,0.7440884709358215
86675,3.380934715270996
82934,3.240865707397461
94153,3.680750131607056
67437,0.7012605667114258
55161,1.8167170286178589
94072,4.989479064941406
108330,2.623386859893799
52643,0.7708832621574402
60134,2.2275326251983643
31271,0.6885291337966919
35345,4.690828323364258
75826,2.628257989883423
4311,1.4991447925567627
37785,0.7532660365104675
74579,1.6694484949111938
85453,1.309254765510559
98394,1.2019073963165283
15708,2.8669915199279785
56194,0.7181246876716614
26759,0.891579806804657
20613,1.6941238641738892
31618,0.8373159766197205
99039,2.5932116508483887
21792,0.6142581701278687
48856,1.443147897720337
99032,2.579477310180664
67646,0.790036141872406
43538,4.834987640380859
13249,1.6593800783157349
60453,2.5181658267974854
70920,1.1771472692489624
47696,1.410053253173828
31315,0.8759020566940308
12070,1.2465639114379885
28240,2.26784896850586
37707,3.273944854736328
87291,0.8064362406730652
87918,4.207987785339356
76513,1.7068625688552856
52986,3.1745195388793945
18916,4.953597068786621
12743,0.9302581548690796
31862,2.1620240211486816
8627,1.720227837562561
76122,1.7735297679901123
13751,2.929628849029541
30432,3.52005386352539
13885,1.8103035688400269
13,3.9587090015411377
12576,1.5579060316085815
59792,1.635621190071106
49669,3.0772361755371094
54355,0.5480502843856812
30888,3.406814813613892
75591,4.015739917755127
13167,1.419050693511963
24004,0.834671139717102
17459,1.3869576454162598
52553,0.5832346677780151
48062,0.53493332862854
81456,2.1666808128356934
99506,2.759612798690796
22531,0.5615020394325256
75287,3.386247634887696
59386,1.3886408805847168
27528,1.5612174272537231
3341,2.7443628311157227
95748,1.1989470720291138
31437,1.9549496173858645
68976,1.3627398014068604
17671,3.855786085128784
